公司名称,财务风险-流动性风险-流动资产周转率,财务风险-流动性风险-应收账款周转率,财务风险-筹资风险-纳税信用等级,财务风险-筹资风险-征信信用等级,财务风险-筹资风险-1/财务费用率,财务风险-筹资风险-1/产权比率,财务风险-筹资风险-融资轮次,财务风险-筹资风险-股权出质总计,财务风险-投资风险-对外投资数量,财务风险-短期清偿能力-流动比率,财务风险-短期清偿能力-速动比率,财务风险-短期清偿能力-现金比率,财务风险-短期清偿能力-现金流量比率,财务风险-长期清偿能力-资产负债率,财务风险-长期清偿能力-长期资本负债率,财务风险-长期清偿能力-利息保障倍数,财务风险-长期清偿能力-现金流量利息保障倍数,财务风险-长期清偿能力-现金流量债务比,财务风险-盈利能力-销售净利率,财务风险-盈利能力-总资产报酬率,财务风险-盈利能力-主营业务利润率,财务风险-盈利能力-净资产收益率,财务风险-资产利用-存货周转率,财务风险-资产利用-营运资本周转率,财务风险-资产利用-非流动资产周转率,财务风险-资产利用-总资产周转率,财务风险-资产利用-成本费用利润率,财务风险-成长能力-营业收入增长率,财务风险-成长能力-总资产增长率,财务风险-资本结构-上市股东持股比例,财务风险-上市情况-是否上市,经营风险-知识产权-专利数量,经营风险-知识产权-软件著作权数量,经营风险-知识产权-作品著作权数量,经营风险-司法风险-诉讼数量,经营风险-其它风险-经营异常次数,经营风险-其它风险-行政处罚次数,经营风险-其它风险-动产质押次数,经营风险-其它风险-自身风险,经营风险-其它风险-周边风险,经营风险-组织结构风险-股东数量（注册）,经营风险-组织结构风险-第一大股东持股比例（注册）,经营风险-战略风险-竞品信息,经营风险-战略风险-公众号数
中博龙辉（北京）信息技术股份有限公司,1.7624545304,8.0008381383,13,13,107.5546037348,0.5717862316,0,0,3,119.7066752524,90.3429650596,0.0374488818,0.143711826,63.6216885519,0,18128000,29905999.9999999,0.143711826,0.0303253932,0.0554229023,0.1430445653,0.1118936363,6.1495130325,9.1630127737,4.8188101307,1.1488328687,0.043087937,1.3252948531,0.1879571713,0.6346,0,0,14,0,1,0,0,0,1,1,10,0.6875,10,0
中国电子工程设计院,2.0663761083,8.3635247672,6,6,24.7978851443,0.8021057866,0,0,37,58.6812597496,48.9723531967,0.1735778998,-0.0042319112,55.4906421252,0.3008470238,1.7600020144,-0.0820801247,-0.0027712762,0.03155197,0.0329742344,0.1775442247,0.0312353925,10.1822056516,-2.3925725428,0.4565950949,0.3592321535,0.0304228608,-1.1293214002,0.0186073616,0,0,190,29,1,22,0,0,0,0,46,1,1,0,1
中地加荷（北京）环保科技有限公司,0,0,13,13,0,50269000,0,0,0,0,0,613000,266000.000000001,0,0,-1407000,266000.000000001,266000.000000001,-1407000,-0.0279894169,0,-0.0279894169,0,0,0,0,-0.9999992893,-0.4493152444,-0.0546852952,0,0,2,6,0,0,1,0,0,0,0,2,0.9,0,0
中安消技术有限公司,0.2969108452,1.0026931388,5,5,20.2874928057,0.1888011587,0,0,11,108.2764391831,107.3127061045,0.4638702964,-0.0226411197,84.1183567701,0,518065000,-254762000,-0.0226411197,0.1216016356,0.0387291785,0.3199898711,0.2070593219,21.9729436101,2.5585946197,1.9970481358,0.1781294763,0.1738091707,-0.2084618617,0.747599022,0,0,94,44,0,6,0,0,0,1,27,1,1,0,1
中安网脉（北京）技术股份有限公司,1.3187808884,4.5569259818,9,9,-4803.0160100534,1.1461567566,0,0,1,243.7751004016,237.5502008032,1.2844712153,-0.1414547074,46.5949188426,0.1167201632,232500000,-63400000,-0.1200302913,0.1371365118,0.2050988003,0.4935109997,0.3263957714,25.684586893,1.1120422081,17.4780483542,0.632145377,0.1777794768,0.0119850186,0.1177282586,0,0,1,29,0,0,0,1,0,0,0,20,0.25,10,1
中持水务股份有限公司,0.6025974612,2.2275140706,9,9,50.1636007376,0.9877189818,12,0,20,138.9559465562,119.2753057116,0.1114354983,-0.0281474257,50.3089112104,0.0433637261,107774000,-60893999.9999999,-0.0268871898,0.0615222234,0.0239403134,0.2775858565,0.0498206736,3.0417220494,1.5366855272,0.8659151794,0.2876804925,0.0641085659,-0.4874491093,0.4338350727,0,0,42,14,0,1,0,0,0,0,5,20,0.3393,10,1
中林信达（北京）科技信息有限责任公司,0.6288673079,2.1062145612,12,12,3948.7040890787,2.2312337692,0,0,2,188.3365758755,149.8897535668,0.0455496105,0.1085035659,30.9480085498,0,38576000,13385000,0.1085035659,0.1980206138,0.0967777544,0.6666187517,0.1051140079,1.0129880869,0.4408838927,0.2889482277,0.1205306517,0.358746393,-1.7186824972,0.5935937033,0,0,5,16,0,0,0,0,0,0,0,4,0.35,0,1
中海昊华环境工程有限公司,0.1728715072,0.490395565,11,11,3798.2377546364,0.5504539167,0,0,2,133.5543471424,119.8132184832,0.0578865502,-0.2504197013,64.644061324,0,114609272000,-2827896763000,-0.2504197013,0.0326755143,0.0065607476,0.248654214,0.0137933622,1.2437877759,0.5093542062,0.8085115491,0.1104834746,0.0459413964,17.6602476355,0.0502921171,0,0,4,4,0,2,0,0,0,0,2,3,0.639,0,0
中环国投（北京）环境信息科技股份有限公司,1.5532997123,5.4826709853,14,14,-1446.4153908426,10.2588927297,0,0,1,915.4728464419,776.0533707865,3.119849457,0,8.8818661899,0,-9231999.99999999,0,0,-0.1519720789,-0.1919414529,0.5746361926,-0.2106512116,4.2991933682,0.7350230865,2.8485924075,0.5323713973,-0.1319120948,-157.5736004475,0.1124525832,0,0,0,13,0,0,0,0,0,2,0,3,0.9999,0,0
中电华材新材料科技（北京）有限公司,0,0,15,15,0,2.140710039,0,0,0,304.5086705202,222.8406275805,1.8591796389,0,31.8404907975,0,-501000,0,0,-501000,-0.0087817704,0,-0.0128841456,0,0,0,0,-1.0121191674,-0.2477207412,0.1902278188,0,0,0,3,0,0,1,0,0,1,0,4,0.72,0,0
中电华瑞技术有限公司,0.0740584003,1.0184287001,9,9,105000000,0.0876060355,0,0,1,106.4334509421,74.4313489978,0.0015013888,-0.0165152766,91.945057979,0,-105200000,-22000000,-0.0165152766,-1.0019047524,-0.0726118167,0.5123809475,-0.9014567266,0.1196340602,0.5950991763,1.6451612373,0.0352015461,-0.500475735,0.2147806029,0.0774150368,0,0,17,27,0,0,0,0,0,0,0,2,0.46,4,0
中电投工程研究检测评定中心,0.4067064179,2.5817958995,9,9,-110.7548703058,9.6044660606,0,0,0,1191.3661939182,1191.3661939182,5.6738034334,4.2515540798,9.4299726728,0.0132077465,16306000,201749000,3.7050115934,0.0689479701,0.0282381383,0.2697638804,0.0303120692,166506000,0.321510911,13.7528691044,0.2883490399,0.0759198987,-0.5338789915,0.0806168793,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
中益能（北京）技术有限公司,0.4423728324,4.8281407786,10,10,26.4548962999,5.1734914675,0,0,10,215.3120995176,126.6239038104,0.0759801121,-0.1721562801,16.1982714772,0,7964999.99999999,-25658000,-0.1721562801,0.0561085395,0.008656743,0.5978923153,0.0103300292,0.4315932786,0.3319446041,0.0952080547,0.0620024953,0.0605726449,0.708081517,0.0931937669,0,0,0,6,0,0,0,0,0,4,1,5,0.708,0,1
中盛建材有限公司,0.5602335488,1.6337946308,10,10,2207.7688231501,1.0580025642,0,0,1,178.1337790664,115.3377991131,0.0869418889,-0.0885359385,47.7222204302,0,6817000.00000003,-62872999.9999998,-0.0885359385,0.007213248,0.0045810955,0.1467088848,0.0065712769,1.3506458238,1.0855116586,2.7000685759,0.4047566244,0.009678688,-0.4808515127,-0.0924979188,0,0,12,4,0,19,0,0,0,0,19,2,0.53,0,0
中科九度（北京）空间信息技术有限责任公司,0.8865010295,3.7819351306,11,11,-471.5533700673,3.8257088343,0,0,4,319.8581560284,308.4427471662,1.4325756024,0.3027095799,20.7222968611,0.0234967871,-7288000,24969000,0.2748436919,-0.0311599469,-0.0166238222,0.7618367576,-0.0209691016,5.8336867211,0.3028949528,0.3146552694,0.125294532,-0.0278463407,-0.7954567227,0.1687674281,0,0,15,58,0,1,0,0,0,1,0,2,0.6248,0,0
中科信息安全共性技术国家工程研究中心有限公司,0.6519491953,2.3865948022,6,6,-60.5434511718,21.4312202603,0,0,1,807.8300251845,795.7452533885,2.3629250288,0.8274152849,4.4580722243,0,5865173999.9999,296955231000,0.8274152849,0.0031029853,0.000728552,0.9472272295,0.0007625469,2.1781065025,0.0371867809,0.0183390697,0.0117345021,0.0030150218,0.0129863713,0.0232106538,0,0,35,86,0,0,0,0,0,1,15,5,0.25,10,0
中科嘉亿生态工程技术有限公司,0,0,11,11,0,1.2264969902,0,0,2,137.9191215669,117.2612660016,0.0020008446,-0.0346582292,44.9109485964,0,-175453000,-5006000.00000013,-0.0346582292,-191229000,-0.5455424549,-133570000,-1.0793348874,4.4587437342,2.4290669631,1.086901456,0.4136661554,-0.9129285492,1.0283154241,1.7919162301,0,0,9,0,0,0,0,0,0,0,0,14,0.6312,0,0
中科恒源科技股份有限公司,0.4986705909,2.8235458059,8,8,8.4603448099,0.5561759933,4,67,16,114.3340834277,89.918400947,0.210244046,0.3897591586,64.2600800456,0.0847399657,460352000,3891905000,0.3696889284,0.0682767083,0.0280999476,0.2996042988,0.0663880402,1.6223750058,2.7634409409,0.7964982236,0.241435703,0.0803572535,-1.0728349076,-0.1678581765,0,0,206,13,0,34,0,0,0,72,30,20,0.028,10,0
中能兴科（北京）节能科技股份有限公司,1.0284264638,1.942011376,10,10,-984.942211168,1.1317663588,0,0,0,250.3401474531,246.6672252011,0.4965817611,-0.379339806,67.7162765208,0.3665857829,54687000,-22639000,-0.1308703486,0.3228441242,0.2140726533,0.541256098,0.6014768649,31.8517190457,0.7781616667,0.6583158051,0.2733069746,0.4954295454,-4.427275229,0.8944573744,0,0,12,15,0,2,0,0,0,2,1,7,0.0741,10,0
中能服能源科技股份有限公司,0.4003160363,4.4130223732,10,10,565.5841752245,2.2198450562,0,0,3,319.6135854483,233.1473013674,0.1101855785,-0.551221627,31.0574372716,0,-680999.999999987,-125732000,-0.551221627,-0.0070106427,-0.0009272421,0.3394884892,-0.0040407711,0.9731527581,0.383149808,35.4969418352,0.2613325051,-0.0022327064,-0.9713170097,-0.10799811,0,0,43,6,0,1,0,0,0,0,0,5,0.4,10,1
中航捷锐（北京）光电技术有限公司,1.0281849909,4.652346402,10,10,-1028.6738534498,1.1661774111,0,0,1,211.1589242476,132.935098343,0.5341492247,0.2807103482,46.1642704686,0.0417145713,160580000,130075000,0.2664603126,0.1361642952,0.1518574594,0.4286292218,0.2406320264,1.5745823082,1.1080518571,7.2268691709,0.5397398805,0.190250745,0.0099993073,0.003753257,0,0,22,0,0,0,0,0,0,0,1,4,0.5359,0,0
中航网信(北京)科技有限公司,2.7042175971,4.2406578959,8,8,99.2762409022,0.2580899909,0,0,9,102.7091008263,74.8845069085,0.0398922861,0,85.9691414099,0,636540000.000001,0,0,0.0314529703,0.0843890247,0.0636626534,0.5352671219,9.3347473498,95.8751887253,19.0817763755,2.2329242609,0.0366369961,0.5862613743,0.2922021844,0,0,4,0,0,0,0,0,0,11,6,4,0.4,0,0
中节能唯绿（北京）建筑节能科技有限公司,0.6644478575,1.9343596238,11,11,-179.4749714474,4.8594293728,0,0,0,691.724295238,691.724295238,3.6334822487,0.4455111876,17.0665331583,0.0343150039,71119000,42970000.0000001,0.3685817676,0.1506035372,0.1041116786,0.484316595,0.1178473525,222135000,0.3892161528,13.9461945036,0.3251852205,0.1927291938,-0.1723034289,0.2843855052,0,0,45,0,0,0,0,0,0,0,0,6,0.525,0,0
中节能科技投资有限公司,0.7204900575,3.9743825188,4,4,5193270000,0.9842722284,0,0,3,134.376276445,88.1560076502,0.260192777,-0.1353365825,50.3963108284,0,857080000,-725948000,-0.1022994938,0.1403562688,0.0608678664,0.9999999998,0.1043579302,0,0,0,0,1.4668266252,0.4492056673,0.3895910587,0,0,31,0,0,4,0,0,0,2,20,1,1,0,0
中节能风力发电股份有限公司,0.8629344248,2.1884188041,4,4,3.1694448424,0.4093311773,12,0,31,53.3457660657,50.9073394461,0.1931477537,0.4357233211,70.9556436227,0.6388093037,2507773000,11200383000,0.1202807476,0.1920304298,0.0191090198,0.5141586739,0.0596153784,9.1070797106,-0.4759899318,0.0485724884,0.0434971785,0.2486365887,-0.2069540293,0.0796715407,0,0,7,23,0,0,0,0,0,0,18,5,0.5333,10,0
中赫时尚（北京）文化发展股份有限公司,6.1899241767,76427000,14,14,444.3404398812,0.1747846501,2,0,0,94.1154051376,94.0544248799,0.8089792813,0.0985593339,85.1275063266,0,-960000.000000003,1292999.99999999,0.0985593339,-0.0125610058,-0.0622931672,0.5558637582,-0.4188481675,4175.7280339958,-43.2772581312,10.9040434386,2.167931856,-0.0124053445,-4.6641043355,-0.1812240898,0.6335,0,0,7,0,0,0,0,0,0,0,9,0.6335,10,1
中鑫创投（北京）教育科技有限公司,0.5479682942,2913000,13,13,2913000,5387.6123876124,0,0,1,531600,236400,2361.6383616384,-7540.4595404596,0.0185391175,0,-4428000,-7548000,-7540.4595404596,-1.5200818675,-0.8209121246,0.9965667708,-0.8210643427,0.0033875327,0.0018814672,0.1282034846,0.0018539114,-442.7557244276,2903000,5394000,0,0,0,10,0,0,0,0,0,0,0,4,0.29,0,0
中铝国际工程股份有限公司,0.6757917096,2.1159661495,4,4,152.2971588939,0.3588896084,0,0,40,127.959155639,91.506021338,0.2373277056,-0.0431338411,73.5872571967,0.2142533947,1093000,-941999.999999996,-0.0389127545,0.0441090789,0.0332249141,0.1143764832,0.0958683393,2.070091437,2.6989841633,3.3279476317,0.5009575189,0.0616260678,-0.5536969394,0.1694216285,0,0,15,0,0,19,0,0,0,12,551,2,0.8174,10,0
中际联合（北京）科技股份有限公司,1.061614288,1.6019539307,7,7,484.2505236862,3.9685576245,6,0,3,429.7792053889,404.1422378844,0.8565380744,0.5636694608,20.125829833,0.0169419558,347081000,144597000,0.5251179342,0.2566500971,0.2536776502,0.5506333543,0.2748738146,7.7692271422,0.6039781263,1.9230879175,0.373448414,0.4256578676,0.3251316711,0.3647727847,0,0,180,1,0,1,0,0,0,0,0,5,0.4392,10,1
举贤网科技（北京）股份有限公司,4.0419795445,9.6870670701,14,14,45.1634815887,-0.7570149178,6,0,3,17.6109452736,17.6109452736,0.0317910445,-0.196119401,411.5479115479,0,-32769000,-19710000,-0.196119401,-0.4580578362,-1.3418918919,0.5056682298,0.4307176656,31608000,-0.3817345247,4.7028708968,1.2943488413,-0.3140266953,-0.5039049507,-0.3785626939,0,0,0,19,0,5,0,0,0,6,9,13,0.2437,10,1
九一金融信息服务（北京）有限公司,0.0655587188,1.2885043336,9,9,-93.2851970032,21.3156410993,8,0,4,2213.8310330406,2213.8310330406,15.1380169327,-6.3318692458,4.4811532926,0,1725000,-151395000,-6.3318692458,-0.0125353002,0.0032329525,0.6963863554,-0.0008535135,10411000,0.0205988322,2.4548449765,0.0195120397,0.044327379,10.5978288884,51.3619184139,0,0,0,23,0,4,0,0,0,0,5,16,0.3686,30,1
九源天能（北京）科技有限公司,0.1556301022,2.2401283907,8,8,9.4469446804,0.0268414837,0,0,8,618.8464678982,487.8961304578,0.0757593386,0.6160270471,97.386000695,0.9696228452,203546000,1180699000,0.0882359689,0.1049268852,0.014813769,0.3927536913,0.539262526,0.4414309277,0.1114116266,0.5895401309,0.0806328089,0.1239580135,4.0758058759,3.2084541362,0,0,25,11,0,0,0,0,0,0,1,20,0.0975,0,1
二十一世纪空间技术应用股份有限公司,1.4563529495,9.8942156015,6,6,31.932448697,0.6165852868,8,1,12,54.3407352543,44.2378049401,0.141145368,0.7206836311,62.8977183159,0.5441793484,579967000,1416717000,0.1901830377,0.3218451683,0.048969633,0.6072151936,0.1139463817,3.070497409,-0.6794025641,0.0565939869,0.0514894328,0.5370144368,0.1396864909,0.202999586,0,0,8,175,0,0,0,0,3,6,4,9,0.5029,2,0
京北方信息技术股份有限公司,2.2949125922,4.0312668236,8,8,41.2821185696,0.6426373668,0,0,6,162.9113327858,162.4639179328,0.5897345925,0.2675647585,60.8777273058,0.160307246,452179000,481170000,0.2347380277,0.0600140911,0.1342931094,0.2214035191,0.306308871,645.6397407855,4.591682175,11.8760413061,1.5428143757,0.0717300856,0.7325961265,0.0893180602,0,0,27,5,0,15,0,1,0,1,3,7,0.2285,10,0
企商在线（北京）网络股份有限公司,6.0231212132,148.8570365307,11,11,208400000,2.9123252489,3,0,3,43.9644218551,43.9644218551,0.1829733141,0.1689961859,42.5175580767,0,-12700000,13300000,0.1689961859,-0.0614203452,-0.0686115613,0.3037428008,-0.1203007519,142500000,-3.2312925903,0.9468438475,0.7698541287,-0.0575181157,-9.5333269778,0.5450751207,0,0,0,20,0,1,0,1,0,1,1,4,0.6037,10,1
众信博睿整合营销咨询股份有限公司,0.2510260036,1.2420654596,12,12,-116.9128723148,7.1691995782,0,0,10,788.027414864,788.027414864,6.1548498276,-2.3437561911,12.2407781244,0,-7575000,-10943000,-2.3437561911,-0.7052835962,-0.1985947618,0.409701125,-0.1945987931,5450000,0.1696550813,4.0370340466,0.1428833562,-0.4505977961,-7575000,38143000,0.85,1,0,0,0,0,0,0,0,0,1,4,0.85,20,1
伟景行科技股份有限公司,0.8342666657,1.4845673134,8,8,1141754000,1.5204437176,4,4,3,197.7005251031,186.497988429,0.3902260032,0.2408699229,39.6755760556,0,146459000,166741000,0.2374399245,0.1166354573,0.0827466937,0.4881060189,0.1247224233,7.536615462,0.8641633398,22.3185923428,0.3302076646,0.2505898633,0.0155176992,0.0434187969,0,0,7,80,0,7,0,0,0,9,1,18,0.2908,10,1
伯格森（北京）科技股份有限公司,0.9212556758,1.6537688742,10,10,52.4294180186,0,0,0,1,188.7445302337,129.9650272855,0.0477115672,-0.036104681,44.6760010567,0,2025000.00000001,-2137000.00000001,-0.036104681,0.0196756671,0.0152847492,0.5004032249,0.0276277014,1.4779109115,0.9788870299,2.4757088702,0.3881043108,0.0184826854,0.0219098824,0.0754350926,0.6,0,7,11,0,0,0,0,0,0,1,5,0.6,10,0
信亦宏达网络存储技术（北京）有限公司,3.6258016982,13.003599064,8,8,5651.7725675261,0.6757498268,0,0,1,76.4983351474,47.7281363311,0.0789816382,-0.0241773953,59.6747327552,0,13513000,-18770000.0000001,-0.0241773953,0.0045965994,0.010386937,0.1524596079,0.0188671333,8.1517845585,-9.9792276956,2.5750632857,1.3995423372,0.0063013709,-24.8957690526,0.2947062737,0,0,0,30,0,3,0,0,0,1,0,5,0.36,10,0
信帧电子技术（北京）有限公司,0.6928567231,0.7935284311,13,13,6309.3935650844,4.5242396299,0,0,1,224.8482295872,221.2740000581,0.1719871006,-0.7951462399,18.1020385629,0,5327000.00000001,-54749000,-0.7951462399,0.0434154341,0.0140049321,0.7908190779,0.0149496649,8.5290497647,0.2441748166,0.0930618176,0.0551836914,0.0485349316,-1.2633525898,1.9271982736,0,0,122,0,0,0,0,0,0,0,0,5,0.7162,0,0
倍适（北京）科技有限公司,2.5039548992,6.3925303864,9,9,84.5395854457,0.4841835298,0,0,9,229.9943432515,142.9548025795,0.1671540894,0.0847805179,67.3771756465,0.5102807387,67427999.9999999,29974999.9999996,0.0420076797,0.0328627361,0.0636682017,0.143785582,0.1936739673,5.6553290451,3.7866050987,7.0779185104,1.643311523,0.0342440638,0.1977007766,0.2877198525,0,0,17,5,0,4,2,1,0,7,0,0,0,0,0
元码基因科技（北京）有限公司,0,0,13,13,0,0,0,0,3,0,0,0,0,0,0,1400000,0,0,1400000,0,0,0,0,0,0,0,1400000,0,0,0,0,5,0,0,0,0,0,0,0,2,6,0.4913,0,0
先智创科（北京）科技有限公司,0.8657321485,151.4194745318,11,11,1082.6445867771,0.1582287182,8,2,3,107.5288048151,107.5288048151,0.7668787585,0.3780438505,86.3387329067,0,-75558000,87933000,0.3780438505,-0.3489493357,-0.2804635417,0.7242460596,-2.0529833714,58286000,3.3283460868,3.021252176,0.2163516495,-0.2460186953,0.4896427246,1.3955965659,0,0,0,29,1,0,0,0,0,2,4,13,0.3808,39,0
全维智码信息技术（北京）股份有限公司,0.6971821284,3.0803092961,12,12,-934.6319860407,5.2583799036,0,0,1,615.0561797753,615.0561797753,3.8104398965,0.9390448999,15.9786950732,0,7532999.99999999,20058000,0.9390448999,0.0812725854,0.0563518305,0.3591649978,0.0662761089,58586000,0.5325225373,25.4500323849,0.4382620892,0.0791065457,-1.216925215,-0.4092467854,0,0,0,25,0,0,0,0,0,0,0,4,0.8387,0,0
动能趋势（北京）康复技术股份有限公司,0.9961490021,4.5792463795,13,13,-1769.1744495438,4.9761386645,6,0,2,581.6422012983,571.8989414586,3.1245100225,-1.7985846074,16.733211986,0,10409000,-30754000,-1.7985846074,0.0767017919,0.1018632689,0.4037265786,0.08930859,35.4249487245,0.7166205168,21.6103912082,0.5775546496,0.1177821769,21.4815950721,0.476143005,0.2017,0,3,6,0,0,0,0,0,0,0,5,0.24,10,1
北京万向新元科技股份有限公司,0.6485766505,2.2458198237,8,8,247.1464763809,1.5582102438,12,0,10,217.1468145018,159.0040462489,0.3368431873,0.0009482846,39.0898152856,0.0055478764,306261000,1078999.99999991,0.0009400412,0.1662535615,0.1042991502,0.3254837133,0.1489592961,1.618029122,0.8030665856,2.2991715642,0.3645472591,0.2372143169,-0.2066336794,0.2115631067,0,0,50,34,0,13,0,0,0,3,5,15,0.149,3,1
北京万家天能新能源股份有限公司,1.8214735445,3.9650177566,11,11,465.9966844865,0.4554873574,0,0,25,134.3157927559,74.3185990404,0.1141222366,0.127767795,68.7053265381,0.0166981146,28030000,32781000.0000001,0.1267795189,0.0316091496,0.0744801271,0.1341839545,0.168465294,3.5230652068,6.1596719085,17.0905074659,1.4410190692,0.0465895548,-0.1002339936,-0.0779117999,0.2558,1,0,0,0,1,0,0,0,1,5,17,0.2043,10,0
北京万思维通信技术有限公司,1.4154378702,2.1012075817,11,11,126.0055131181,0,0,0,1,200.7542180811,185.9481238983,0.4118358044,0,32.9024774215,0,33810000,0,0,0.1376220771,0.1400695998,0.9999999956,0.1917633984,0,0,0,0,0.6228354465,0.1060338884,0.9997183179,0,0,0,15,0,0,0,0,0,0,1,5,0,0,0
